client_id,job,age,marital,education,credit_default,mortgage
0,housemaid,56,married,basic_4y,False,False
1,services,57,married,high_school,False,False
2,services,37,married,high_school,False,True
3,admin_,40,married,basic_6y,False,False
4,services,56,married,high_school,False,False
5,services,45,married,basic_9y,False,False
6,admin_,59,married,professional_course,False,False
7,blue-collar,41,married,,False,False
8,technician,24,single,professional_course,False,True
9,services,25,single,high_school,False,True
10,blue-collar,41,married,,False,False
11,services,25,single,high_school,False,True
12,blue-collar,29,single,high_school,False,False
13,housemaid,57,divorced,basic_4y,False,True
14,blue-collar,35,married,basic_6y,False,True
15,retired,54,married,basic_9y,False,True
16,blue-collar,35,married,basic_6y,False,True
17,blue-collar,46,married,basic_6y,False,True
18,blue-collar,50,married,basic_9y,False,True
19,management,39,single,basic_9y,False,False
20,unemployed,30,married,high_school,False,False
21,blue-collar,55,married,basic_4y,False,True
22,retired,55,single,high_school,False,True
23,technician,41,single,high_school,False,True
24,admin_,37,married,high_school,False,True
25,technician,35,married,university_degree,False,False
26,technician,59,married,,False,True
27,self-employed,39,married,basic_9y,False,False
28,technician,54,single,university_degree,False,False
29,unknown,55,married,university_degree,False,False
30,admin_,46,married,,False,False
31,technician,59,married,,False,True
32,blue-collar,49,married,,False,False
33,management,54,married,basic_4y,False,True
34,blue-collar,54,divorced,basic_4y,False,False
35,unknown,55,married,basic_4y,False,True
36,services,34,married,high_school,False,False
37,technician,52,married,basic_9y,False,True
38,admin_,41,married,university_degree,False,True
39,technician,56,married,basic_4y,False,True
40,management,58,unknown,university_degree,False,True
41,entrepreneur,32,married,high_school,False,True
42,admin_,38,single,professional_course,False,False
43,admin_,57,married,university_degree,False,False
44,admin_,44,married,university_degree,False,True
45,technician,42,single,professional_course,False,False
46,admin_,57,married,university_degree,False,True
47,blue-collar,40,married,basic_9y,False,False
48,admin_,35,married,university_degree,False,True
49,blue-collar,45,married,basic_9y,False,True
50,admin_,54,married,high_school,False,False
51,housemaid,39,married,basic_4y,False,False
52,admin_,60,married,high_school,False,False
53,admin_,53,single,professional_course,False,False
54,blue-collar,55,married,basic_4y,False,False
55,technician,55,married,professional_course,False,True
56,management,50,married,university_degree,False,False
57,services,45,married,high_school,False,True
58,unemployed,55,married,professional_course,False,True
59,technician,25,single,university_degree,False,True
60,entrepreneur,47,married,university_degree,False,False
61,blue-collar,51,married,basic_9y,False,True
62,blue-collar,42,married,basic_6y,False,True
63,blue-collar,42,married,basic_6y,False,False
64,admin_,48,married,high_school,False,False
65,admin_,37,married,university_degree,False,False
66,blue-collar,44,single,basic_9y,False,True
67,admin_,33,married,,False,True
68,admin_,56,married,basic_9y,False,True
69,blue-collar,44,single,basic_4y,False,True
70,management,41,married,basic_6y,False,False
71,management,44,divorced,university_degree,False,True
72,admin_,47,married,university_degree,False,True
73,unknown,57,married,,False,False
74,admin_,37,married,university_degree,False,True
75,blue-collar,41,divorced,basic_4y,False,True
76,technician,55,married,university_degree,False,False
77,services,33,married,high_school,False,True
78,management,55,married,,False,True
79,blue-collar,42,married,basic_9y,False,False
80,blue-collar,50,married,basic_4y,False,True
81,blue-collar,51,married,basic_4y,False,False
82,admin_,38,married,high_school,False,False
83,entrepreneur,49,married,university_degree,False,True
84,technician,38,single,university_degree,False,False
85,admin_,31,divorced,high_school,False,False
86,management,41,married,basic_6y,False,False
87,admin_,39,married,university_degree,False,True
88,technician,49,married,basic_9y,False,False
89,admin_,34,married,high_school,False,True
90,admin_,35,married,university_degree,False,True
91,unknown,57,married,,False,True
92,admin_,60,married,,False,False
93,unemployed,33,married,basic_9y,False,False
94,blue-collar,42,married,basic_6y,False,False
95,services,45,married,professional_course,False,True
96,management,42,married,university_degree,False,False
97,admin_,53,divorced,university_degree,False,False
98,technician,37,single,professional_course,False,False
99,blue-collar,44,married,basic_6y,False,False
100,services,54,married,,False,True
101,blue-collar,49,married,basic_4y,False,False
102,services,54,married,,False,False
103,admin_,52,divorced,university_degree,False,False
104,admin_,52,divorced,university_degree,False,False
105,services,43,single,high_school,False,False
106,housemaid,34,married,basic_6y,False,True
107,admin_,35,married,high_school,False,True
108,entrepreneur,42,married,,False,True
109,technician,43,married,,False,True
110,retired,60,divorced,university_degree,False,False
111,unemployed,58,married,basic_4y,False,False
112,services,35,divorced,high_school,False,True
113,blue-collar,55,married,basic_9y,False,True
114,management,37,married,university_degree,False,False
115,blue-collar,36,married,high_school,False,False
116,admin_,52,divorced,university_degree,False,False
117,blue-collar,57,divorced,,False,True
118,admin_,56,married,,False,True
119,blue-collar,48,divorced,basic_4y,False,True
120,blue-collar,40,married,high_school,False,True
121,blue-collar,49,divorced,high_school,False,False
122,services,41,married,high_school,False,False
123,technician,45,married,high_school,False,True
124,admin_,32,married,university_degree,False,True
125,admin_,42,married,university_degree,False,False
126,admin_,50,married,basic_6y,False,False
127,technician,31,divorced,professional_course,False,True
128,retired,56,married,basic_4y,False,True
129,technician,41,married,professional_course,False,True
130,blue-collar,37,married,basic_6y,False,True
131,technician,41,married,professional_course,False,False
132,blue-collar,35,married,,False,True
133,blue-collar,37,married,basic_6y,False,True
134,management,52,married,university_degree,False,False
135,management,39,divorced,university_degree,False,False
136,housemaid,39,married,basic_4y,False,False
137,blue-collar,56,married,basic_4y,False,False
138,services,34,married,high_school,False,True
139,blue-collar,45,married,basic_9y,False,True
140,unemployed,43,single,university_degree,False,True
141,management,56,married,,False,True
142,management,39,married,university_degree,False,True
143,blue-collar,53,married,basic_4y,False,True
144,unknown,38,divorced,high_school,False,True
145,blue-collar,42,married,basic_4y,False,True
146,blue-collar,42,married,basic_4y,False,False
147,admin_,35,single,high_school,False,True
148,admin_,40,married,university_degree,False,True
149,blue-collar,51,married,basic_4y,False,True
150,blue-collar,60,married,basic_9y,False,False
151,entrepreneur,56,married,,False,True
152,services,39,divorced,high_school,False,True
153,entrepreneur,56,married,,False,False
154,blue-collar,40,married,,False,True
155,blue-collar,36,married,basic_9y,False,True
156,blue-collar,51,married,,False,True
157,blue-collar,51,married,,False,False
158,technician,43,single,professional_course,False,True
159,services,59,married,high_school,False,False
160,management,24,single,university_degree,False,True
161,blue-collar,37,single,basic_9y,False,True
162,blue-collar,40,married,basic_9y,False,False
163,blue-collar,42,married,basic_9y,False,False
164,services,39,divorced,high_school,False,False
165,entrepreneur,37,married,basic_6y,False,False
166,services,38,married,high_school,False,True
167,admin_,56,divorced,,False,False
168,blue-collar,40,married,,False,False
169,management,54,divorced,university_degree,False,True
170,blue-collar,43,married,high_school,False,False
171,services,36,married,high_school,False,False
172,technician,45,married,university_degree,False,True
173,admin_,42,single,university_degree,False,False
174,services,43,married,high_school,False,False
175,management,46,married,basic_9y,False,False
176,services,44,married,high_school,False,True
177,admin_,51,single,basic_6y,False,False
178,services,28,married,high_school,False,True
179,blue-collar,37,married,basic_9y,False,False
180,technician,34,married,high_school,False,False
181,blue-collar,46,married,basic_6y,False,True
182,blue-collar,42,married,basic_9y,False,True
183,admin_,36,married,university_degree,False,True
184,blue-collar,54,married,basic_4y,False,False
185,management,57,married,university_degree,False,False
186,technician,51,married,basic_6y,False,False
187,retired,54,married,high_school,False,False
188,blue-collar,49,married,basic_4y,False,False
189,admin_,34,married,university_degree,False,True
190,technician,41,married,professional_course,False,False
191,blue-collar,38,single,basic_9y,False,True
192,management,45,divorced,university_degree,False,False
193,technician,42,married,university_degree,False,False
194,blue-collar,34,single,basic_9y,False,True
195,blue-collar,48,married,basic_4y,False,True
196,admin_,37,married,high_school,False,True
197,blue-collar,34,single,basic_9y,False,False
198,admin_,40,married,basic_9y,False,True
199,blue-collar,43,married,basic_6y,False,True
200,services,33,married,high_school,False,False
201,services,32,single,basic_6y,False,False
202,blue-collar,39,married,high_school,False,True
203,admin_,43,married,,False,False
204,blue-collar,44,married,basic_9y,False,True
205,student,35,single,university_degree,False,False
206,student,35,single,university_degree,False,True
207,unemployed,35,married,professional_course,False,False
208,services,36,single,basic_4y,False,False
209,student,35,single,university_degree,False,True
210,student,36,single,basic_9y,False,True
211,housemaid,55,divorced,university_degree,False,False
212,admin_,59,married,university_degree,False,False
213,retired,57,married,,False,False
214,blue-collar,39,married,professional_course,False,True
215,housemaid,39,married,basic_4y,False,True
216,blue-collar,30,single,,False,True
217,blue-collar,30,single,,False,True
218,housemaid,50,married,basic_4y,False,False
219,services,40,married,high_school,False,False
220,admin_,35,married,high_school,False,True
221,technician,43,married,,False,False
222,services,36,single,basic_6y,False,True
223,technician,46,married,basic_4y,False,True
224,technician,40,married,basic_9y,False,False
225,retired,58,married,university_degree,False,False
226,technician,42,married,university_degree,False,False
227,admin_,35,single,university_degree,False,False
228,retired,43,married,basic_4y,False,False
229,blue-collar,45,married,basic_4y,False,True
230,admin_,39,married,professional_course,False,True
231,services,50,divorced,professional_course,False,True
232,management,32,divorced,basic_4y,False,True
233,admin_,39,married,high_school,False,False
234,self-employed,52,married,university_degree,False,False
235,admin_,44,married,professional_course,False,True
236,blue-collar,56,married,basic_4y,False,False
237,admin_,48,married,high_school,False,False
238,services,33,married,high_school,False,False
239,management,43,married,university_degree,False,False
240,retired,57,married,high_school,False,False
241,technician,36,single,professional_course,False,False
242,management,34,married,university_degree,False,True
243,services,34,single,basic_9y,False,False
244,technician,30,married,university_degree,False,False
245,services,33,divorced,,False,False
246,technician,32,single,professional_course,False,False
247,technician,36,single,high_school,False,True
248,blue-collar,36,single,high_school,False,False
249,services,33,single,high_school,False,False
250,technician,40,divorced,professional_course,False,False
251,blue-collar,41,married,basic_4y,False,True
252,services,51,married,basic_6y,False,True
253,technician,36,married,professional_course,False,True
254,services,28,married,,False,False
255,services,53,married,high_school,False,True
256,blue-collar,58,married,basic_9y,False,True
257,management,45,married,basic_9y,False,False
258,technician,43,married,,False,True
259,admin_,33,married,high_school,False,False
260,admin_,33,married,high_school,False,False
261,blue-collar,27,single,basic_6y,False,False
262,technician,42,married,high_school,False,False
263,admin_,43,divorced,basic_9y,False,False
264,admin_,42,married,university_degree,False,False
265,blue-collar,27,single,basic_6y,False,False
